Participant,Gender,Group,Pre,Post
1,Male,Control,0.55,0.70
2,Male,Control,0.54,0.47
3,Male,Control,0.54,0.71
4,Male,Control,0.54,0.57
5,Male,Control,0.49,0.56
6,Male,Plyo,0.56,0.58
7,Male,Plyo,0.57,0.57
8,Male,Plyo,0.67,0.49
9,Male,Plyo,0.54,0.67
10,Male,Plyo,0.53,0.57
11,Female,Control,0.10,0.24
12,Female,Control,0.44,0.41
13,Female,Control,0.47,0.32
14,Female,Control,0.31,0.42
15,Female,Control,0.38,0.32
16,Female,Plyo,0.41,0.51
17,Female,Plyo,0.37,0.53
18,Female,Plyo,0.47,0.34
19,Female,Plyo,0.42,0.56
20,Female,Plyo,0.32,0.52
