Participant,Gender,Group,Pre,Post
1,Male,Control,1.91,1.47
2,Male,Control,1.44,1.52
3,Male,Control,1.93,1.30
4,Male,Control,1.69,1.46
5,Male,Control,2.40,1.65
6,Male,Plyo,2.79,1.53
7,Male,Plyo,1.67,1.67
8,Male,Plyo,1.91,1.34
9,Male,Plyo,0.96,0.98
10,Male,Plyo,1.86,1.66
11,Female,Control,1.39,1.27
12,Female,Control,2.34,2.34
13,Female,Control,1.64,1.68
14,Female,Control,1.80,2.26
15,Female,Control,1.46,0.99
16,Female,Plyo,2.37,1.91
17,Female,Plyo,2.65,1.09
18,Female,Plyo,3.82,1.65
19,Female,Plyo,1.50,1.83
20,Female,Plyo,1.93,1.05
