Participant,Gender,Group,Pre,Post
1,Male,Control,0.45,0.40
2,Male,Control,0.50,0.42
3,Male,Control,0.40,0.45
4,Male,Control,0.26,0.28
5,Male,Control,0.40,0.39
6,Male,Plyo,0.44,0.54
7,Male,Plyo,0.48,0.45
8,Male,Plyo,0.36,0.47
9,Male,Plyo,0.48,0.66
10,Male,Plyo,0.44,0.48
11,Female,Control,0.16,0.26
12,Female,Control,0.23,0.26
13,Female,Control,0.11,0.30
14,Female,Control,0.20,0.36
15,Female,Control,0.09,0.21
16,Female,Plyo,0.20,0.23
17,Female,Plyo,0.32,0.32
18,Female,Plyo,0.37,0.33
19,Female,Plyo,0.30,0.52
20,Female,Plyo,0.22,0.44
