Participant,Gender,Group,Pre,Post
1,Male,Control,0.64,0.75
2,Male,Control,0.63,0.73
3,Male,Control,0.60,0.67
4,Male,Control,0.68,0.73
5,Male,Control,0.64,0.59
6,Male,Plyo,0.56,0.66
7,Male,Plyo,0.59,0.80
8,Male,Plyo,0.58,0.75
9,Male,Plyo,0.70,0.68
10,Male,Plyo,0.55,0.73
11,Female,Control,0.22,0.50
12,Female,Control,0.63,0.54
13,Female,Control,0.27,0.71
14,Female,Control,0.30,0.47
15,Female,Control,0.36,0.49
16,Female,Plyo,0.32,0.56
17,Female,Plyo,0.48,0.65
18,Female,Plyo,0.37,0.33
19,Female,Plyo,0.35,0.25
20,Female,Plyo,0.36,0.42
