Participant,Gender,Group,Pre,Post
1,Male,Control,0.87,0.59
2,Male,Control,0.82,0.74
3,Male,Control,0.70,0.69
4,Male,Control,0.76,0.62
5,Male,Control,0.78,0.72
6,Male,Plyo,0.80,0.72
7,Male,Plyo,0.74,0.68
8,Male,Plyo,0.82,0.88
9,Male,Plyo,0.49,0.69
10,Male,Plyo,0.69,0.76
11,Female,Control,0.45,0.63
12,Female,Control,0.57,0.54
13,Female,Control,0.63,0.45
14,Female,Control,0.58,0.55
15,Female,Control,0.55,0.42
16,Female,Plyo,0.59,0.44
17,Female,Plyo,0.56,0.29
18,Female,Plyo,0.56,0.40
19,Female,Plyo,0.46,0.56
20,Female,Plyo,0.52,0.25
